applicant_id,dup_group_id,record_kind,full_name,dob,phone,pan,email,address,city,state,pincode,loan_amount,loan_purpose,applied_on
APP000014,2567,original,Yash Devi Agarwal,1969-11-14,6210934059,VEQOX6184Y,yash_devi_agarwal831@gmail.com,"8th Floor, 310 Park Avenue, Vasant Kunj",Chennai,Tamil Nadu,600076,850000,Working Capital,2025-12-14
APP000015,6576,original,Mohit Verma,1978-04-17,8450038459,KKAOE6137E,mohitverma345@outlook.com,"12th Floor, 79 Gandhi Marg, Rajouri Garden",Surat,Gujarat,395033,2725000,Business Expansion,2025-05-02
APP000016,6330,original,Harish Kumar Joshi,1994-11-01,7459025871,EILQJ0708U,harishkumarjoshi858@hotmail.com,"369 Lake Side Road, Jubilee Hills",Noida,Uttar Pradesh,201004,1875000,Working Capital,2025-10-13
APP000017,2462,original,Vikas Mishra,1984-11-08,9005631317,XFUUW8422I,vikasmishra877@yahoo.co.in,"209 Nehru Street, Vasant Kunj",Bengaluru,Karnataka,560075,1450000,Debt Consolidation,2025-04-06
APP000018,4707,original,Dhruv Mishra,1983-02-18,8470926243,UDTMY1628G,dhruvmishra778@yahoo.co.in,"280 Church Street, Banjara Hills",Chennai,Tamil Nadu,600071,2500000,Inventory Finance,2025-03-24
APP000019,7631,original,Sandeep Lal Malhotra,1994-07-27,7362557614,RTYIB4476W,sandeep_lal_malhotra4@hotmail.com,"Flat 125, 318 Station Road, Malviya Nagar",Hyderabad,Telangana,500004,3075000,Equipment Purchase,2025-07-11
APP000020,5748,original,Sanjay Nath Bansal,1970-08-19,8435454861,GUPQM8062P,sanjay_nath_bansal925@rediffmail.com,"Flat 401, 236 Nehru Street, Malviya Nagar",Mumbai,Maharashtra,400013,4225000,Inventory Finance,2025-02-19
APP000021,7250,original,Pooja Nath Yadav,1993-11-13,8143424553,LVMJD5547B,pooja_nath_yadav159@yahoo.co.in,"Flat 1101, 305 Church Street, Kothrud",Coimbatore,Tamil Nadu,641081,4850000,Personal Loan,2025-05-01
APP000022,5642,original,Shalini Menon,1997-10-26,8782776969,CSKNW0723H,shalinimenon622@yahoo.co.in,"95 Temple Street, HSR Layout",Chennai,Tamil Nadu,600091,950000,Equipment Purchase,2025-09-23
APP000023,7548,original,Shreya Chandra Chopra,1983-04-12,8348167417,QRXMA6785X,shreya.chandra.chopra395@gmail.com,"163 Market Road, HSR Layout",Gurugram,Haryana,122040,2750000,Business Expansion,2025-11-04
APP000024,1901,original,Saurabh Nath Dixit,1969-09-17,6599210509,SNZNF6981D,saurabhnathdixit342@gmail.com,"13th Floor, 392 Temple Street, Koramangala",Delhi,Delhi,110097,1325000,Business Expansion,2025-10-06
APP000025,7253,original,Tanvi Jain,1966-09-01,9123236274,EHNHE0057K,tanvijain570@rediffmail.com,"14th Floor, 111 MG Road, Powai",Bengaluru,Karnataka,560090,3800000,Inventory Finance,2025-08-04
APP000026,1505,original,Deepak Rani Kulkarni,1997-07-23,6265887334,WDOQX0206D,deepak.rani.kulkarni785@outlook.com,"3th Floor, 215 Lake Side Road, HSR Layout",Surat,Gujarat,395076,4400000,Equipment Purchase,2025-04-13
APP000027,6209,original,Siddharth Lal Rao,1970-06-15,9905046914,IYXUA3304Z,siddharth_lal_rao740@gmail.com,"17th Floor, 116 MG Road, Whitefield",Bhopal,Madhya Pradesh,462099,3525000,Personal Loan,2025-11-13
APP000028,3057,original,Nisha Gupta,1994-11-16,6477400793,URNMP9896T,nishagupta547@hotmail.com,"13th Floor, 123 Ring Road, Powai",Bhopal,Madhya Pradesh,462024,2875000,Equipment Purchase,2025-08-24
APP000029,872,original,Harish Chandra Gupta,1989-02-17,6711900322,WPDNT8905Q,harish_chandra_gupta129@yahoo.co.in,"6th Floor, 364 Church Street, Adyar",Kolkata,West Bengal,700008,4550000,Equipment Purchase,2025-11-15
APP000030,359,original,Anjali Devi Pandey,1987-02-28,6077218049,HRTJM9129L,anjali_devi_pandey326@gmail.com,"9th Floor, 161 Gandhi Marg, Hinjewadi",Bengaluru,Karnataka,560048,2425000,Working Capital,2025-04-19
APP000031,4060,original,Amit Chandra Chopra,1967-09-23,8106873886,HBGXW4021D,amit.chandra.chopra752@outlook.com,"2th Floor, 122 Park Avenue, Indiranagar",Ahmedabad,Gujarat,380095,2925000,Working Capital,2025-03-05
APP000032,5558,exact_key,Ramesh Agarwal,1999-11-05,8284704837,JILAQ3675C,rameshagarwal663@outlook.com,Flat 327 244 Park Avenue Malviya Nagar,Bhopal,Madhya Pradesh,462092,2375000,Inventory Finance,2025-02-12
APP000033,6984,original,Rakesh Lal Menon,1989-08-21,8394407065,YBDRQ3098S,rakesh.lal.menon447@rediffmail.com,"2th Floor, 144 Temple Street, Indiranagar",Indore,Madhya Pradesh,452096,525000,Debt Consolidation,2025-12-15
APP000034,5810,original,Gaurav Lal Jain,1965-11-23,8869262383,JLAZN0661F,gaurav_lal_jain378@outlook.com,"12th Floor, 118 Nehru Street, Rajouri Garden",Indore,Madhya Pradesh,452026,3725000,Equipment Purchase,2025-09-21
APP000035,206,original,Farhan Devi Gupta,1983-03-12,6552500470,TZQJZ3191F,farhan_devi_gupta734@outlook.com,"365 MG Road, Andheri East",Kochi,Kerala,682036,750000,Business Expansion,2025-04-26
APP000036,4656,original,Vishal Kumar Verma,2001-05-19,6967214461,MHJUR0338C,vishalkumarverma325@rediffmail.com,"17th Floor, 317 Ring Road, Malviya Nagar",Lucknow,Uttar Pradesh,226053,1500000,Equipment Purchase,2025-04-27
APP000037,7072,original,Rajesh Kumar Jain,1987-10-05,9333925896,JHLQD5180P,rajesh_kumar_jain867@outlook.com,"178 Gandhi Marg, Sector 45",Coimbatore,Tamil Nadu,641000,4700000,Personal Loan,2025-05-01
APP000038,659,original,Siddharth Prasad Khanna,1979-06-28,7063093991,DNKFK4911V,siddharthprasadkhanna444@yahoo.co.in,"5th Floor, 74 Lake Side Road, Vasant Kunj",Indore,Madhya Pradesh,452048,1825000,Inventory Finance,2025-08-16
APP000039,4218,original,Yash Rani Shukla,1977-08-05,6691623391,OUNKY1226Y,yash.rani.shukla118@yahoo.co.in,"Flat 371, 322 Ring Road, Hinjewadi",Jaipur,Rajasthan,302051,3375000,Business Expansion,2025-05-21
APP000040,8173,original,Shreya Devi Trivedi,2002-02-03,8924969364,HQDNZ8736B,shreyadevitrivedi306@hotmail.com,"Flat 1170, 168 Nehru Street, Banjara Hills",Ahmedabad,Gujarat,380002,3925000,Personal Loan,2025-07-06
APP000041,5761,original,Tanvi Prasad Agarwal,1978-11-18,6577689132,NYDNC6779B,tanvi_prasad_agarwal836@hotmail.com,"315 Park Avenue, Andheri East",Kolkata,West Bengal,700075,1125000,Equipment Purchase,2025-07-18
APP000042,3573,original,Divya Prasad Menon,1978-11-09,9761188757,TKTMW0764W,divyaprasadmenon361@hotmail.com,"Flat 883, 105 Station Road, Banjara Hills",Kolkata,West Bengal,700038,4075000,Equipment Purchase,2025-05-21
APP000043,8675,hard_negative_household,Priya Mehta,1997-01-26,7369303904,UWOKL4184K,priya.mehta330@gmail.com,"204 Nehru Street, Sector 45",Kochi,Kerala,682081,2575000,Personal Loan,2025-05-14
APP000044,1803,original,Divya Prasad Khanna,1971-04-04,7513844480,OOOHW7207D,divya.prasad.khanna831@gmail.com,"Flat 159, 366 Station Road, Sector 45",Noida,Uttar Pradesh,201088,2175000,Debt Consolidation,2025-08-24
APP000045,8673,hard_negative_household,Vikram Bansal,1976-11-26,8258063212,LCPWZ9633Z,vikram.bansal506@gmail.com,"344 Station Road, Jubilee Hills",Pune,Maharashtra,411074,2525000,Equipment Purchase,2025-01-03
APP000046,2666,original,Priya Devi Reddy,1972-08-24,7057743917,DUFOJ3926Y,priya_devi_reddy952@rediffmail.com,"131 Temple Street, Anna Nagar",Bhopal,Madhya Pradesh,462045,3625000,Personal Loan,2025-05-01
APP000047,2613,original,Ravi Prasad Nair,1980-11-02,7974960923,QTETX4443G,ravi_prasad_nair177@yahoo.co.in,"6th Floor, 149 Nehru Street, Vasant Kunj",Coimbatore,Tamil Nadu,641066,2400000,Debt Consolidation,2025-07-19
APP000048,1521,original,Rajesh Chandra Singh,1991-06-01,6778291009,CHZDL7215E,rajeshchandrasingh298@yahoo.co.in,"183 Market Road, Malviya Nagar",Indore,Madhya Pradesh,452081,4375000,Working Capital,2025-10-05
APP000049,7347,original,Manish Nath Yadav,1980-06-20,7222290045,LXJOB3188K,manish.nath.yadav140@gmail.com,"7th Floor, 244 Station Road, Anna Nagar",Noida,Uttar Pradesh,201004,1900000,Personal Loan,2025-01-23
APP000050,1943,original,Akshay Prasad Verma,1997-03-22,6197012416,JYAZM5601H,akshayprasadverma881@gmail.com,"10th Floor, 269 Park Avenue, HSR Layout",Ahmedabad,Gujarat,380004,4700000,Working Capital,2025-01-24
APP000051,6332,original,Akshay Devi Verma,1974-07-04,7612026875,QBDVS2539J,akshay_devi_verma831@rediffmail.com,"Flat 789, 229 Park Avenue, Powai",Kolkata,West Bengal,700057,4200000,Debt Consolidation,2025-03-12
APP000052,3377,original,Akshay Malhotra,1996-05-24,7459263294,HHJOI7793G,akshay_malhotra585@outlook.com,"10th Floor, 163 Ring Road, Hinjewadi",Surat,Gujarat,395093,3000000,Working Capital,2025-05-01
APP000053,8931,hard_negative_namesake,Ananya Prasad Rao,1978-05-19,7196954383,WXBSF4465B,ananya_prasad_rao598@outlook.com,"Flat 399, 246 Station Road, Jubilee Hills",Mysuru,Karnataka,570026,2350000,Equipment Purchase,2025-10-04
APP000054,7935,original,Uday Nath Pillai,1973-08-01,7758576669,RTQMC9992Q,uday.nath.pillai12@outlook.com,"15th Floor, 61 Gandhi Marg, Vasant Kunj",Mumbai,Maharashtra,400013,4025000,Business Expansion,2025-01-20
APP000055,5265,original,Amit Chandra Chopra,1979-04-16,6022559618,UMUXD7454X,amitchandrachopra766@gmail.com,"Flat 595, 290 Lake Side Road, Banjara Hills",Kolkata,West Bengal,700033,2350000,Working Capital,2025-11-14
APP000056,2378,original,Sunil Prasad Verma,1973-07-08,8607349370,BOKTK5788Q,sunilprasadverma568@outlook.com,"Flat 671, 189 Market Road, Rajouri Garden",Mysuru,Karnataka,570068,3950000,Equipment Purchase,2025-08-23
APP000057,4157,original,Ishaan Devi Chauhan,1974-05-23,8742941414,SIFVS0399E,ishaan.devi.chauhan569@rediffmail.com,"14th Floor, 53 Nehru Street, Malviya Nagar",Kolkata,West Bengal,700012,1325000,Business Expansion,2025-07-05
APP000058,2674,original,Priya Kumar Chauhan,1982-10-19,8335213159,JUFDP7329P,priya.kumar.chauhan74@outlook.com,"179 Church Street, Andheri East",Pune,Maharashtra,411015,1250000,Inventory Finance,2025-10-12
APP000059,5596,original,Ananya Pillai,1968-06-23,6450840621,EHOYL3548O,ananyapillai560@gmail.com,"16th Floor, 20 Park Avenue, Rajouri Garden",Indore,Madhya Pradesh,452099,325000,Business Expansion,2025-04-25
APP000060,1035,original,Naveen Chandra Iyer,1973-02-16,7014605034,HMRMJ1806O,naveenchandraiyer980@gmail.com,"Flat 282, 28 Lake Side Road, Hinjewadi",Mysuru,Karnataka,570057,825000,Inventory Finance,2025-09-09
APP000061,8164,original,Gaurav Rani Reddy,1988-12-18,8661331988,MHVCQ6908C,gaurav.rani.reddy770@yahoo.co.in,"15th Floor, 79 Temple Street, Powai",Delhi,Delhi,110071,575000,Personal Loan,2025-07-27
APP000062,7723,original,Uday Nath Menon,1969-03-13,7026329863,UEPHH0208T,udaynathmenon332@rediffmail.com,"39 Nehru Street, Jubilee Hills",Kolkata,West Bengal,700063,1825000,Inventory Finance,2025-11-02
APP000063,7082,original,Anjali Chandra Bansal,1976-11-04,8797212254,EKPAX5982C,anjalichandrabansal589@gmail.com,"49 Gandhi Marg, Malviya Nagar",Hyderabad,Telangana,500042,3175000,Working Capital,2025-05-15
APP000064,8414,original,Ishaan Devi Gupta,1985-07-21,8602087757,OZFXL2757E,ishaandevigupta614@yahoo.co.in,"116 MG Road, Indiranagar",Noida,Uttar Pradesh,201099,4700000,Equipment Purchase,2025-05-27
APP000065,8598,original,Bhavna Rani Jain,1991-07-27,8953246412,WHXYB8466W,bhavnaranijain934@hotmail.com,"Flat 824, 44 Bazaar Street, Aundh",Indore,Madhya Pradesh,452048,2250000,Debt Consolidation,2025-07-22
APP000066,1867,original,Pooja Bhat,1988-04-27,6156938190,METTN4583A,pooja_bhat684@outlook.com,"18th Floor, 354 Gandhi Marg, Anna Nagar",Kochi,Kerala,682023,2825000,Debt Consolidation,2025-03-20
APP000067,1142,exact_key,Ananya Prasad Deasi,1974-05-02,6372144376,VXNDX5050Q,ananyaprasaddeasi84@outlook.com,"Flat 294, 356 MG Road, HSR Layout",Delhi,Delhi,110061,4150000,Inventory Finance,2025-04-14
APP000068,7798,original,Uday Prasad Sinha,1973-04-15,7632236412,TZTQS9550A,udayprasadsinha869@gmail.com,"Flat 922, 211 Station Road, Powai",Hyderabad,Telangana,500024,1000000,Personal Loan,2025-03-27
APP000069,8661,hard_negative_household,Naveen Reddy,2002-01-13,7658008215,IOXNY1159U,naveen_reddy761@yahoo.co.in,"174 Hill View Road, Hinjewadi",Indore,Madhya Pradesh,452056,4200000,Working Capital,2025-06-10
APP000070,2071,original,Divya Chandra Shukla,1981-05-06,6292248955,AWWNM1110D,divya_chandra_shukla37@gmail.com,"Flat 330, 310 Hill View Road, Jubilee Hills",Mumbai,Maharashtra,400026,4125000,Working Capital,2025-12-13
APP000071,747,original,Pranav Kumar Kapoor,1977-08-02,6723758851,SRDRR4079Z,pranav_kumar_kapoor74@yahoo.co.in,"Flat 347, 45 MG Road, Malviya Nagar",Kochi,Kerala,682025,3775000,Business Expansion,2025-10-22
APP000072,4074,original,Siddharth Iyer,1999-04-01,9381201602,QCJUT3133S,siddharth.iyer238@gmail.com,"17th Floor, 345 MG Road, Powai",Bhopal,Madhya Pradesh,462020,3025000,Personal Loan,2025-10-10
APP000073,1864,original,Nikhil Nath Pandey,1988-08-16,6032589213,KIDOA0369M,nikhilnathpandey95@yahoo.co.in,"7 Bazaar Street, Kothrud",Coimbatore,Tamil Nadu,641085,4800000,Inventory Finance,2025-10-05
APP000074,6322,adversarial,Singh Zoya,1995-06-13,8856374960,DSNEG2120S,singhzoya686@outlook.com,"218 Hill View Rd, Rajouri Garden",Pune,Maharashtra,411088,875000,Equipment Purchase,2025-01-16
APP000075,3102,original,Priya Lal Bhat,1967-09-04,7971119882,GJMZR3227O,priya_lal_bhat453@outlook.com,"Flat 274, 81 Nehru Street, Vasant Kunj",Jaipur,Rajasthan,302062,2875000,Business Expansion,2025-12-09
APP000076,1498,original,Arun Bhat,1994-05-06,6906955391,XSSBL3382E,arun.bhat884@gmail.com,"Flat 300, 259 Station Road, Rajouri Garden",Surat,Gujarat,395021,1950000,Equipment Purchase,2025-09-01
APP000077,7696,exact_key,Pranav Kulkarni,1967-08-20,8292715689,SCHMF0472T,pranavkulkarni644@outlook.com,Flat 115 19 Station Road Kothrud,Lucknow,Uttar Pradesh,226004,1650000,Working Capital,2025-01-24
APP000078,6389,original,Uday Prasad Bansal,1971-04-02,6598410409,JKSTP1114Y,uday_prasad_bansal53@gmail.com,"Flat 750, 275 Temple Street, Whitefield",Ahmedabad,Gujarat,380097,2575000,Personal Loan,2025-01-18
APP000079,8857,hard_negative_household,Jyoti Trivedi,1968-11-23,8269271907,KQUVQ2533A,jyoti_trivedi989@hotmail.com,"14th Floor, 111 Link Road, Kothrud",Mysuru,Karnataka,570060,3425000,Working Capital,2025-02-13
APP000080,472,original,Manish Kumar Joshi,1986-08-11,6472731616,VJPNI4045E,manish.kumar.joshi811@gmail.com,"364 Park Avenue, Sector 45",Surat,Gujarat,395039,1125000,Inventory Finance,2025-12-09
APP000081,316,original,Prakash Rani Malhotra,1994-09-07,6802527084,MMSXH4364H,prakashranimalhotra248@yahoo.co.in,"144 Gandhi Marg, Adyar",Mysuru,Karnataka,570036,2775000,Working Capital,2025-06-12
APP000082,8310,original,Sunil Chandra Mehta,1965-09-26,7172059913,BLFKC6735Y,sunil.chandra.mehta667@yahoo.co.in,"2 Park Avenue, Malviya Nagar",Hyderabad,Telangana,500081,3775000,Business Expansion,2025-02-09
APP000083,5953,original,Kavita Rani Shetty,1988-04-14,7157319869,RBQLJ2877F,kavitaranishetty35@yahoo.co.in,"Flat 156, 30 Link Road, Banjara Hills",Ahmedabad,Gujarat,380043,1325000,Business Expansion,2025-12-05
APP000084,3466,original,Ramesh Nath Chauhan,1983-01-01,7706478219,KJFKE7392L,ramesh_nath_chauhan429@hotmail.com,"43 Gandhi Marg, Vasant Kunj",Kochi,Kerala,682002,625000,Debt Consolidation,2025-01-11
APP000085,2384,original,Divya Chandra Khanna,1973-11-16,9132912440,SXRNZ2597H,divyachandrakhanna367@hotmail.com,"344 MG Road, Jubilee Hills",Mumbai,Maharashtra,400053,4775000,Working Capital,2025-12-01
APP000086,6940,original,Aarav Rani Reddy,2002-09-26,7948888827,PTUTO7484J,aarav_rani_reddy78@yahoo.co.in,"Flat 145, 68 Link Road, Andheri East",Hyderabad,Telangana,500006,3275000,Debt Consolidation,2025-01-16
APP000087,4517,original,Manish Devi Trivedi,1973-02-25,6038048320,AUXGJ8792D,manishdevitrivedi482@rediffmail.com,"1th Floor, 132 Station Road, Vasant Kunj",Mumbai,Maharashtra,400059,875000,Debt Consolidation,2025-03-22
APP000088,7401,original,Yash Chandra Sinha,1991-09-06,9862410529,KJBZT7615L,yashchandrasinha744@outlook.com,"295 Lake Side Road, Vasant Kunj",Indore,Madhya Pradesh,452092,1600000,Business Expansion,2025-02-12
APP000089,7406,original,Vinod Kumar Dixit,2001-01-15,9059152535,JBEHX7860U,vinodkumardixit866@rediffmail.com,"10th Floor, 328 Church Street, Sector 45",Lucknow,Uttar Pradesh,226067,4050000,Debt Consolidation,2025-07-08
APP000090,3077,original,Deepika Kumar Jain,1985-12-02,9472918123,PAHHX6042N,deepikakumarjain639@hotmail.com,"258 Lake Side Road, Whitefield",Kochi,Kerala,682075,200000,Working Capital,2025-07-13
APP000091,5163,original,Shalini Chandra Mehta,1997-08-17,8830618201,CUNFV5788U,shalini_chandra_mehta357@yahoo.co.in,"Flat 994, 40 Nehru Street, Jubilee Hills",Pune,Maharashtra,411072,3300000,Inventory Finance,2025-08-02
APP000092,8544,original,Vinod Desai,1994-09-18,7799546255,FCIXV4558S,vinod_desai957@gmail.com,"5th Floor, 35 Lake Side Road, Vasant Kunj",Delhi,Delhi,110071,475000,Personal Loan,2025-09-02
APP000093,2932,original,Anil Kumar Jain,1979-05-26,9414733571,USSXA9145W,anil.kumar.jain201@gmail.com,"Flat 521, 95 MG Road, Salt Lake",Coimbatore,Tamil Nadu,641071,4650000,Inventory Finance,2025-09-23
APP000094,2526,original,Bhavna Rani Agarwal,1995-12-08,9793605143,BXJHH3596O,bhavnaraniagarwal751@outlook.com,"Flat 991, 61 Temple Street, Salt Lake",Kolkata,West Bengal,700045,3775000,Equipment Purchase,2025-09-15
APP000095,7496,original,Uday Nath Yadav,1969-12-07,6499566022,DAQOS5837U,uday.nath.yadav940@hotmail.com,"388 Hill View Road, Indiranagar",Noida,Uttar Pradesh,201092,1275000,Working Capital,2025-05-11
APP000096,4298,original,Neha Nath Joshi,1997-02-08,8477620868,QLPQF8873K,neha_nath_joshi315@rediffmail.com,"Flat 938, 382 Bazaar Street, Aundh",Ahmedabad,Gujarat,380005,3525000,Equipment Purchase,2025-06-27
APP000097,8200,exact_key,Ankut Chandra Menon,1996-02-24,6312558436,KHQCH5106I,ankut.chandra.menon943@outlook.com,Flat 179 15 Ring Rd Koramangala,Ahmedabad,Gujarat,380020,850000,Personal Loan,2025-11-08
APP000098,8158,original,Deepika Chandra Saxena,1987-08-03,8256639507,UJTPO6504H,deepika_chandra_saxena979@hotmail.com,"Flat 993, 342 Nehru Street, HSR Layout",Kolkata,West Bengal,700031,3200000,Equipment Purchase,2025-10-27
APP000099,2251,original,Vinod Chandra Sinha,1997-02-18,8797286402,WHFYM1608O,vinod.chandra.sinha992@gmail.com,"396 Temple Street, Whitefield",Kochi,Kerala,682081,1600000,Personal Loan,2025-05-22
APP000100,1103,original,Neha Prasad Khanna,1976-09-27,7562139933,QZCQR6579E,nehaprasadkhanna500@rediffmail.com,"Flat 595, 356 Bazaar Street, Salt Lake",Pune,Maharashtra,411057,700000,Inventory Finance,2025-02-23
APP000101,2469,original,Mohit Lal Kapoor,1980-05-16,6680716968,VLFDY2557N,mohit_lal_kapoor892@yahoo.co.in,"8th Floor, 39 Park Avenue, Anna Nagar",Bhopal,Madhya Pradesh,462031,2200000,Inventory Finance,2025-06-11
APP000102,1452,fuzzy_only,Sourabh Nath Dixit,1994-12-06,9317477127,QXZCE3338H,sourabh.nath.dixit723@hotmail.com,"4th Floor, 257 Park Avenue, Malviya Nagar",Delhi,Delhi,110060,1500000,Debt Consolidation,2025-03-10
APP000103,8116,original,Sandeep Kulkarni,1982-11-22,7745511322,OOMXJ9254O,sandeep.kulkarni954@outlook.com,"Flat 1163, 157 Church Street, Adyar",Kolkata,West Bengal,700060,3650000,Debt Consolidation,2025-07-06
APP000104,5320,original,Manish Lal Yadav,1984-09-10,7039229022,OTVYS7665I,manishlalyadav298@yahoo.co.in,"8th Floor, 302 Station Road, Whitefield",Mysuru,Karnataka,570071,4900000,Debt Consolidation,2025-06-04
APP000105,1470,original,Nikhil Devi Menon,1997-10-14,7569916494,ECBKT0727T,nikhil.devi.menon329@rediffmail.com,"11th Floor, 74 Hill View Road, HSR Layout",Bengaluru,Karnataka,560005,2600000,Personal Loan,2025-06-18
APP000106,2831,original,Shreya Lal Mehta,1986-09-26,9301270280,DCPFH6318L,shreyalalmehta190@hotmail.com,"13th Floor, 245 Church Street, Koramangala",Kolkata,West Bengal,700047,1600000,Inventory Finance,2025-11-27
APP000107,8701,hard_negative_household,Jyoti Shetty,1970-10-01,7747968894,CHJHB9791B,jyoti.shetty583@rediffmail.com,"4th Floor, 95 Bazaar Street, HSR Layout",Noida,Uttar Pradesh,201019,4650000,Personal Loan,2025-04-25
APP000108,261,original,Dhruv Nath Trivedi,1975-03-05,7218083914,JRRAO0711N,dhruv.nath.trivedi81@rediffmail.com,"15th Floor, 233 Link Road, Jubilee Hills",Ahmedabad,Gujarat,380082,2925000,Equipment Purchase,2025-08-03
APP000109,8726,hard_negative_household,Arun Agarwal,1971-04-23,8961670744,TEIFU5957V,arun_agarwal708@hotmail.com,"244 Hill View Road, Hinjewadi",Lucknow,Uttar Pradesh,226051,4975000,Inventory Finance,2025-11-11
APP000110,5328,original,Uday Lal Rao,1974-12-04,7711028964,IBFME8527F,udaylalrao697@outlook.com,"347 Hill View Road, Aundh",Bengaluru,Karnataka,560002,4375000,Personal Loan,2025-02-06
APP000111,8389,original,Nisha Prasad Pandey,1970-09-24,8267852126,HMHJD7733A,nishaprasadpandey848@yahoo.co.in,"Flat 658, 358 Temple Street, Hinjewadi",Gurugram,Haryana,122021,325000,Working Capital,2025-12-10
APP000112,7848,exact_key,Vinod Chpora,1998-12-24,9400324765,NQCGO0471J,vinod_chpora105@yahoo.co.in,"10th Floor, 358 Lake Side Road, Vasant Kunj",Bengaluru,Karnataka,560084,2950000,Debt Consolidation,2025-11-11
APP000113,7464,original,Harish Devi Sharma,1994-05-05,8495503442,EAXAM6780N,harish.devi.sharma476@outlook.com,"15th Floor, 292 Link Road, Sector 45",Gurugram,Haryana,122020,1850000,Equipment Purchase,2025-07-03
APP000114,4645,original,Nikhil Kumar Sharma,1991-04-26,6818022765,RHVDF6086G,nikhil.kumar.sharma88@outlook.com,"18th Floor, 61 Link Road, Adyar",Kolkata,West Bengal,700060,3425000,Working Capital,2025-01-23
APP000115,1136,original,Pooja Chopra,1983-04-27,7483317096,ILJKO1002W,poojachopra496@yahoo.co.in,"18th Floor, 170 Park Avenue, Vasant Kunj",Coimbatore,Tamil Nadu,641059,2500000,Debt Consolidation,2025-05-16
APP000116,4894,original,Lakshmi Devi Sinha,1996-03-23,7850925977,XDJBX7355W,lakshmi.devi.sinha412@rediffmail.com,"5th Floor, 49 Gandhi Marg, Aundh",Mumbai,Maharashtra,400041,3775000,Equipment Purchase,2025-01-20
